model,target,interaction,test_rmse,test_r2
ARMAX,CO,int_traffic_humidity,0.1959526767534846,0.0565983150829111
ARMAX,CO,int_traffic_precip,0.1965101580048852,0.0512227633044344
ARMAX,CO,int_traffic_temp,0.1971516655041859,0.0450180847874428
ARMAX,CO,int_traffic_wind,0.1918509221654392,0.0956802227562547
ARMAX,CO,none,0.1907013400158355,0.1064852292638236
ARMAX,NO2,int_traffic_humidity,10.40308511793612,0.2076872933412796
ARMAX,NO2,int_traffic_precip,10.441170381984012,0.201875426224005
ARMAX,NO2,int_traffic_temp,10.342535356194404,0.2168835521334552
ARMAX,NO2,int_traffic_wind,10.390412670208674,0.2096164183722521
ARMAX,NO2,none,10.413507120241588,0.2060989912151299
ARMAX,Ozone,int_traffic_humidity,0.0086403550172894,0.4819434595269416
ARMAX,Ozone,int_traffic_precip,0.008797780466204,0.4628937229530155
ARMAX,Ozone,int_traffic_temp,0.0087149515476798,0.4729595596293505
ARMAX,Ozone,int_traffic_wind,0.0086382910214614,0.4821909351974747
ARMAX,Ozone,none,0.0087617577925669,0.4672831013471653
ARMAX,PM2.5,int_traffic_humidity,13.137679559481404,-0.031094639581505
ARMAX,PM2.5,int_traffic_precip,13.121306260001395,-0.0285261645184171
ARMAX,PM2.5,int_traffic_temp,13.031107877711158,-0.0144341937736263
ARMAX,PM2.5,int_traffic_wind,13.124210682408156,-0.0289815467796012
ARMAX,PM2.5,none,12.995737224296697,-0.0089346608086311
Multilinear Regression,CO,int_traffic_humidity,0.4248316793786942,0.1996834020428435
Multilinear Regression,CO,int_traffic_precip,0.4247249572384477,0.2004872905036706
Multilinear Regression,CO,int_traffic_temp,0.4242717130399626,0.2038946235836347
Multilinear Regression,CO,int_traffic_wind,0.424724089891934,0.2004938213413362
Multilinear Regression,CO,none,0.4247226653832888,0.2005045473421517
Multilinear Regression,NO2,int_traffic_humidity,3.1788874897782544,0.2523937110701074
Multilinear Regression,NO2,int_traffic_precip,3.182267210680349,0.2492092851196801
Multilinear Regression,NO2,int_traffic_temp,3.1810335835419368,0.250372804472459
Multilinear Regression,NO2,int_traffic_wind,3.181614162502104,0.2498253887600484
Multilinear Regression,NO2,none,3.1791467830734383,0.2521497602946009
Multilinear Regression,Ozone,int_traffic_humidity,0.090869391685467,0.5268656608209318
Multilinear Regression,Ozone,int_traffic_precip,0.0908510356699056,0.5272478458412475
Multilinear Regression,Ozone,int_traffic_temp,0.0908279980411823,0.5277271776023029
Multilinear Regression,Ozone,int_traffic_wind,0.0909957365789761,0.5242287818673652
Multilinear Regression,Ozone,none,0.0908333619767082,0.5276156056008072
Multilinear Regression,PM2.5,int_traffic_humidity,3.6169578929358495,-0.0224333598149455
Multilinear Regression,PM2.5,int_traffic_precip,3.61721559672338,-0.0227247794199569
Multilinear Regression,PM2.5,int_traffic_temp,3.6139513887861496,-0.019038109287583
Multilinear Regression,PM2.5,int_traffic_wind,3.618070968134878,-0.0236925070723972
Multilinear Regression,PM2.5,none,3.6175195561899542,-0.023068586479422
Random Forest,CO,int_traffic_humidity,0.1756880944935175,0.2416338989837039
Random Forest,CO,int_traffic_precip,0.1758547434162193,0.2401945204828004
Random Forest,CO,int_traffic_temp,0.1756440436782006,0.2420141462290214
Random Forest,CO,int_traffic_wind,0.1756313114315426,0.2421240333946903
Random Forest,CO,none,0.1757690497330877,0.2409348435997077
Random Forest,NO2,int_traffic_humidity,9.579442305336505,0.3281802462673434
Random Forest,NO2,int_traffic_precip,9.583040715257322,0.3276754283792226
Random Forest,NO2,int_traffic_temp,9.5746379414576,0.3288539508675981
Random Forest,NO2,int_traffic_wind,9.602581241345067,0.3249307942981436
Random Forest,NO2,none,9.580676597733008,0.3280071097925389
Random Forest,Ozone,int_traffic_humidity,0.0066971045550103,0.6887652041324019
Random Forest,Ozone,int_traffic_precip,0.0066507020545722,0.6930631928961313
Random Forest,Ozone,int_traffic_temp,0.0066655722470041,0.6916891088166093
Random Forest,Ozone,int_traffic_wind,0.0066311565578011,0.6948646318613583
Random Forest,Ozone,none,0.006657354501004,0.6924488511744433
Random Forest,PM2.5,int_traffic_humidity,12.937223317908929,0.000130434849425
Random Forest,PM2.5,int_traffic_precip,12.939610295705476,-0.0002385603465808
Random Forest,PM2.5,int_traffic_temp,12.927419858024017,0.0016452061452839
Random Forest,PM2.5,int_traffic_wind,12.945190995435455,-0.0011015283445019
Random Forest,PM2.5,none,12.942049671764666,-0.0006157259539418
